mol_smiles	conductivity
O=C(CCCCOC(=O)[Au])NOCCO[Cu]	1
C#CCC(C)(C)C(=O)NC(CO[Cu])COC(=O)[Au]	0
CC(C)(CCNC(=O)CCO[Cu])COC(=O)[Au]	0
CC(CNC(=O)[Au])CNC(=O)CNCCN[Cu]	0
CSCC(C)(C)NCC(COC(=O)[Au])O[Cu]	0
COCCCN(C)CC(CO[Cu])OC(=O)[Au]	1
CCSCCNC(CN[Cu])CNC(=O)[Au]	1
O=C([Au])NCCCCCOCCCCCN[Cu]	1
O=C([Au])OCCNNCCO[Cu]	1
CC(COCCOCCOC(=O)[Au])O[Cu]	1
CCC(CN(C)CCOCCN[Cu])OC(=O)[Au]	1
O=C(O)CCN(CCCO[Cu])CCOC(=O)[Au]	0
N#CCCOCCNC(CO[Cu])COC(=O)[Au]	1
O=C([Au])NCCN(CCF)CCO[Cu]	1
CC(CCOC(=O)[Au])SCCO[Cu]	1
CC(N[Cu])C(=O)NC(C)(C)C(C)(C)OC(=O)[Au]	0
CC(C)CC(=O)NC(CO[Cu])C(C)OC(=O)[Au]	0
CC(CN(C)CCOCCO[Cu])OC(=O)[Au]	1
CC(CN(CCN[Cu])C(C)C)NC(=O)[Au]	0
CCCC(CSC(C)CCOC(=O)[Au])O[Cu]	0
CCC(CCCNC(=O)C(C)OC(=O)[Au])O[Cu]	0
CC(=CCCC(C)CCO[Cu])COC(=O)[Au]	0
C=CC(COC(=O)[Au])NCCOCCO[Cu]	1
CC(CCSCCOCCOC(=O)[Au])O[Cu]	1
O=C(COCCN[Cu])NCCCCOC(=O)[Au]	1
CN(CCOCCOC(=O)[Au])CC(C)(C)O[Cu]	1
CC(C)COCCNC(CN[Cu])CNC(=O)[Au]	1
CCN(CCCCOC(=O)[Au])CCCO[Cu]	1
C=CC(CO[Cu])NCC(C)(C)OC(=O)[Au]	0
O=C([Au])OCCSCCO[Cu]	1
CC(O[Cu])C(=O)N(C)CCCOC(=O)[Au]	0
COCC(CNCCOC(=O)[Au])O[Cu]	1
C=CC(COC(=O)[Au])NCC(COC)O[Cu]	1
CC(C)C(C)(CN[Cu])NC(=O)CCNC(=O)[Au]	0
O=C([Au])NCCSCCSCCN[Cu]	1
CC(NCCN(C)CCOC(=O)[Au])C(C)O[Cu]	1
CCCCC(CN[Cu])NC(=O)C(C)NC(=O)[Au]	0
CC(C)COCC(CNCCNC(=O)[Au])O[Cu]	1
O=C([Au])OCCCSCCO[Cu]	1
CCN(CC)C(=O)C(CN[Cu])NC(=O)[Au]	0
C=CCOCCN(CCO[Cu])CCOC(=O)[Au]	1
CCC(C)CN(C)CC(CN[Cu])OC(=O)[Au]	0
CC(CN(C)CC(C)(C)N[Cu])OC(=O)[Au]	0
C=CCN(C)CC(COC(=O)[Au])O[Cu]	1
CC(CCNC(=O)CC(C)(C)O[Cu])OC(=O)[Au]	0
C=CC(CN(C)CC(CC)NC(=O)[Au])O[Cu]	0
CCCCN(CCOC(=O)[Au])CCC(C)O[Cu]	0
CCCCCC(CNCCOC(=O)[Au])O[Cu]	1
